Commentary	Ref	Literature(PubmedID)	value
xylanase II, gel filtration	180	18553703	13500.0-14000.0
gel filtration	180	18553704	16500.0
x 	180	23670313	20000.0
SDS-PAGE	180	0	21000.0
x 	180	16091777	23000.0
x 	180	24888408	23000.0
gel filtration	180	19078	24000.0
x 	180	18553705	28000.0
xylanase II, gel filtration	180	455113	31000.0
1 	180	100069532	33000.0
gel filtration	180	100069532	34000.0
xylanase IA and IB, gel filtration	180	455113	50000.0
xylanase I, gel filtration	181	18553703	12000.0
xylanase II, gel filtration	181	18553703	13500.0-14000.0
gel filtration	181	18553704	16500.0
x 	181	23670313	20000.0
SDS-PAGE	181	0	21000.0
x 	181	16091777	23000.0
x 	181	24888408	23000.0
gel filtration	181	19078	24000.0
x 	181	18553705	28000.0
xylanase II, gel filtration	181	455113	31000.0
1 	181	100069532	33000.0
gel filtration	181	100069532	34000.0
xylanase IA and IB, gel filtration	181	455113	50000.0
1 	190	18592516	48000.0
gel filtration	190	18592516	50000.0
1 	191	18592516	48000.0
gel filtration	191	18592516	50000.0
1 	192	18592516	48000.0
gel filtration	192	18592516	50000.0
1 	193	18592516	48000.0
gel filtration	193	18592516	50000.0
gel filtration	223	0	32000.0
equilibrium sedimentation	249	0	18500.0
equilibrium sedimentation	250	0	18500.0
equilibrium sedimentation	251	0	18500.0
equilibrium sedimentation	252	0	18500.0
equilibrium sedimentation	253	0	18500.0
endo-beta-D-xylanase B, gel filtration	256	0	15000.0
SDS-PAGE	256	0	38000.0
endo-beta-D-xylanase A, gel filtration	256	0	85000.0
endo-beta-D-xylanase B, gel filtration	257	0	15000.0
SDS-PAGE	257	0	38000.0
endo-beta-D-xylanase A, gel filtration	257	0	85000.0
endo-beta-D-xylanase B, gel filtration	258	0	15000.0
SDS-PAGE	258	0	38000.0
endo-beta-D-xylanase A, gel filtration	258	0	85000.0
endo-beta-D-xylanase B, gel filtration	259	0	15000.0
SDS-PAGE	259	0	38000.0
endo-beta-D-xylanase A, gel filtration	259	0	85000.0
endo-beta-D-xylanase B, gel filtration	260	0	15000.0
SDS-PAGE	260	0	38000.0
endo-beta-D-xylanase A, gel filtration	260	0	85000.0
endo-beta-D-xylanase B, gel filtration	261	0	15000.0
SDS-PAGE	261	0	38000.0
endo-beta-D-xylanase A, gel filtration	261	0	85000.0
endo-beta-D-xylanase B, gel filtration	262	0	15000.0
SDS-PAGE	262	0	38000.0
endo-beta-D-xylanase A, gel filtration	262	0	85000.0
1 	269	19352037	23000.0
1 	270	19352037	23000.0
1 	271	19352037	23000.0
SDS-PAGE, Xyl I	273	0	23000.0
x 	273	22806794	24000.0
SDS-PAGE	273	0	43000.0
x 	273	25553569	45000.0
SDS-PAGE, Xyl II	273	0	47000.0
SDS-PAGE, Xyl I	274	0	23000.0
x 	274	22806794	24000.0
SDS-PAGE	274	0	43000.0
x 	274	25553569	45000.0
SDS-PAGE, Xyl II	274	0	47000.0
SDS-PAGE, Xyl I	275	0	23000.0
x 	275	22806794	24000.0
SDS-PAGE	275	0	43000.0
x 	275	25553569	45000.0
SDS-PAGE, Xyl II	275	0	47000.0
SDS-PAGE, Xyl I	276	0	23000.0
x 	276	22806794	24000.0
SDS-PAGE	276	0	43000.0
x 	276	25553569	45000.0
SDS-PAGE, Xyl II	276	0	47000.0
SDS-PAGE, Xyl I	277	0	23000.0
x 	277	22806794	24000.0
SDS-PAGE	277	0	43000.0
x 	277	25553569	45000.0
SDS-PAGE, Xyl II	277	0	47000.0
SDS-PAGE, Xyl I	278	0	23000.0
x 	278	22806794	24000.0
SDS-PAGE	278	0	43000.0
x 	278	25553569	45000.0
SDS-PAGE, Xyl II	278	0	47000.0
SDS-PAGE, Xyl I	279	0	23000.0
x 	279	22806794	24000.0
SDS-PAGE	279	0	43000.0
x 	279	25553569	45000.0
SDS-PAGE, Xyl II	279	0	47000.0
SDS-PAGE, Xyl I	280	0	23000.0
x 	280	22806794	24000.0
SDS-PAGE	280	0	43000.0
x 	280	25553569	45000.0
SDS-PAGE, Xyl II	280	0	47000.0
X-I, SDS-PAGE	292	16915648	17000.0
SDS-PAGE	292	18065237	20000.0
sequence analysis	292	18612683	23400.0
X-II, SDS-PAGE	292	16915648	40000.0
X-I, SDS-PAGE	293	16915648	17000.0
SDS-PAGE	293	18065237	20000.0
sequence analysis	293	18612683	23400.0
X-II, SDS-PAGE	293	16915648	40000.0
X-I, SDS-PAGE	294	16915648	17000.0
SDS-PAGE	294	18065237	20000.0
sequence analysis	294	18612683	23400.0
X-II, SDS-PAGE	294	16915648	40000.0
X-I, SDS-PAGE	295	16915648	17000.0
SDS-PAGE	295	18065237	20000.0
sequence analysis	295	18612683	23400.0
X-II, SDS-PAGE	295	16915648	40000.0
X-I, SDS-PAGE	296	16915648	17000.0
SDS-PAGE	296	18065237	20000.0
sequence analysis	296	18612683	23400.0
X-II, SDS-PAGE	296	16915648	40000.0
equilibrium sedimentation	308	0	20000.0
equilibrium sedimentation	308	0	20000.0
x 	308	21369910	23000.0
1 	308	0	24000.0
1 	308	0	24000.0
equilibrium sedimentation	309	0	20000.0
equilibrium sedimentation	309	0	20000.0
x 	309	21369910	23000.0
1 	309	0	24000.0
1 	309	0	24000.0
equilibrium sedimentation	310	0	20000.0
equilibrium sedimentation	310	0	20000.0
x 	310	21369910	23000.0
1 	310	0	24000.0
1 	310	0	24000.0
equilibrium sedimentation	311	0	20000.0
equilibrium sedimentation	311	0	20000.0
x 	311	21369910	23000.0
1 	311	0	24000.0
1 	311	0	24000.0
equilibrium sedimentation	312	0	20000.0
equilibrium sedimentation	312	0	20000.0
x 	312	21369910	23000.0
1 	312	0	24000.0
1 	312	0	24000.0
equilibrium sedimentation	313	0	20000.0
equilibrium sedimentation	313	0	20000.0
x 	313	21369910	23000.0
1 	313	0	24000.0
1 	313	0	24000.0
equilibrium sedimentation	314	0	20000.0
equilibrium sedimentation	314	0	20000.0
x 	314	21369910	23000.0
1 	314	0	24000.0
1 	314	0	24000.0
equilibrium sedimentation	315	0	20000.0
equilibrium sedimentation	315	0	20000.0
x 	315	21369910	23000.0
1 	315	0	24000.0
1 	315	0	24000.0
x 	318	19911836	19000.0
x 	318	20467831	20000.0
x 	318	0	21500.0
x 	318	0	22500.0
x 	318	10830514	23000.0
x 	318	15057452	23475.0
x 	318	100536469	24000.0
x 	318	0	44000.0
x 	318	9678255	44700.0
x 	318	9678255	45000.0
enzyme component II from strain W1, gel filtration	318	0	48500.0
enzyme component II from strain W1, gel filtration	318	0	48500.0
1 	318	0	49500.0
1 	318	0	50000.0
enzyme component II from strain W2, gel filtration	318	0	51000.0
enzyme component II from strain W2, gel filtration	318	0	51000.0
1 	318	0	56000.0
x 	318	10689076	99000.0
x 	319	19911836	19000.0
x 	319	20467831	20000.0
x 	319	0	21500.0
x 	319	0	22500.0
x 	319	10830514	23000.0
x 	319	15057452	23475.0
x 	319	100536469	24000.0
x 	319	0	44000.0
x 	319	9678255	44700.0
x 	319	9678255	45000.0
enzyme component II from strain W1, gel filtration	319	0	48500.0
enzyme component II from strain W1, gel filtration	319	0	48500.0
1 	319	0	49500.0
1 	319	0	50000.0
enzyme component II from strain W2, gel filtration	319	0	51000.0
enzyme component II from strain W2, gel filtration	319	0	51000.0
1 	319	0	56000.0
x 	319	10689076	99000.0
x 	320	19911836	19000.0
x 	320	20467831	20000.0
x 	320	0	21500.0
x 	320	0	22500.0
x 	320	10830514	23000.0
x 	320	15057452	23475.0
x 	320	100536469	24000.0
x 	320	0	44000.0
x 	320	9678255	44700.0
x 	320	9678255	45000.0
enzyme component II from strain W1, gel filtration	320	0	48500.0
enzyme component II from strain W1, gel filtration	320	0	48500.0
1 	320	0	49500.0
1 	320	0	50000.0
enzyme component II from strain W2, gel filtration	320	0	51000.0
enzyme component II from strain W2, gel filtration	320	0	51000.0
1 	320	0	56000.0
x 	320	10689076	99000.0
